Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
46,Exit long,2024-12-24 02:24,Exit Long,21783.75,1,21773.5,20.5,0.05,23,0.05,-9,-0.02,902.5,9.03
46,Entry long,2024-12-24 02:02,Long,21773.5,1,21773.5,20.5,0.05,23,0.05,-9,-0.02,902.5,9.03
47,Exit long,2024-12-24 05:03,Exit Long,21800.5,1,21792,17,0.04,25.5,0.06,-15,-0.03,919.5,9.20
47,Entry long,2024-12-24 04:46,Long,21792,1,21792,17,0.04,25.5,0.06,-15,-0.03,919.5,9.20
48,Exit long,2024-12-24 08:58,Exit Long,21825,1,21810.25,29.5,0.07,34,0.08,-3,-0.01,949,9.49
48,Entry long,2024-12-24 08:46,Long,21810.25,1,21810.25,29.5,0.07,34,0.08,-3,-0.01,949,9.49
49,Exit long,2024-12-24 10:44,Exit Long,21952.25,1,21928,48.5,0.11,61,0.14,-19.5,-0.04,997.5,9.98
49,Entry long,2024-12-24 10:27,Long,21928,1,21928,48.5,0.11,61,0.14,-19.5,-0.04,997.5,9.98
50,Exit long,2024-12-24 13:01,Exit Long,22028.75,1,21974.25,109,0.25,135.5,0.31,-65.5,-0.15,1106.5,11.07
50,Entry long,2024-12-24 11:02,Long,21974.25,1,21974.25,109,0.25,135.5,0.31,-65.5,-0.15,1106.5,11.07
51,Exit long,2024-12-26 01:47,Exit Long,22082,1,22103.25,-42.5,-0.10,15.5,0.04,-55,-0.12,1064,10.64
51,Entry long,2024-12-25 22:48,Long,22103.25,1,22103.25,-42.5,-0.10,15.5,0.04,-55,-0.12,1064,10.64
52,Exit short,2024-12-26 02:03,Exit Short,22066.25,1,22082,31.5,0.07,39,0.09,-4.5,-0.01,1095.5,10.96
52,Entry short,2024-12-26 01:47,Short,22082,1,22082,31.5,0.07,39,0.09,-4.5,-0.01,1095.5,10.96
53,Exit short,2024-12-26 03:07,Exit Short,22050.5,1,22070.75,40.5,0.09,47.5,0.11,-26.5,-0.06,1136,11.36
53,Entry short,2024-12-26 02:34,Short,22070.75,1,22070.75,40.5,0.09,47.5,0.11,-26.5,-0.06,1136,11.36
54,Exit long,2024-12-26 09:33,Exit Long,21977.75,1,21973.5,8.5,0.02,35,0.08,-115,-0.26,1144.5,11.45
54,Entry long,2024-12-26 07:20,Long,21973.5,1,21973.5,8.5,0.02,35,0.08,-115,-0.26,1144.5,11.45
55,Exit long,2024-12-26 12:00,Exit Long,22039.75,1,22008,63.5,0.14,65.5,0.15,-65.5,-0.15,1208,12.08
55,Entry long,2024-12-26 10:59,Long,22008,1,22008,63.5,0.14,65.5,0.15,-65.5,-0.15,1208,12.08
56,Exit short,2024-12-26 23:59,Exit Short,21945.5,1,21983,75,0.17,82,0.19,-51.5,-0.12,1283,12.83
56,Entry short,2024-12-26 16:17,Short,21983,1,21983,75,0.17,82,0.19,-51.5,-0.12,1283,12.83
57,Exit short,2024-12-27 03:06,Exit Short,21908.5,1,21930,43,0.10,48,0.11,-28.5,-0.06,1326,13.26
57,Entry short,2024-12-27 01:35,Short,21930,1,21930,43,0.10,48,0.11,-28.5,-0.06,1326,13.26
58,Exit short,2024-12-27 08:35,Exit Short,21904.75,1,21919.25,29,0.07,32,0.07,-5.5,-0.01,1355,13.55
58,Entry short,2024-12-27 08:23,Short,21919.25,1,21919.25,29,0.07,32,0.07,-5.5,-0.01,1355,13.55
59,Exit short,2024-12-27 09:20,Exit Short,21872,1,21893.75,43.5,0.10,59.5,0.14,-12,-0.03,1398.5,13.99
59,Entry short,2024-12-27 09:00,Short,21893.75,1,21893.75,43.5,0.10,59.5,0.14,-12,-0.03,1398.5,13.99
60,Exit short,2024-12-27 10:17,Exit Short,21548.25,1,21655.25,214,0.49,221,0.51,-13,-0.03,1612.5,16.13
60,Entry short,2024-12-27 10:01,Short,21655.25,1,21655.25,214,0.49,221,0.51,-13,-0.03,1612.5,16.13
61,Exit short,2024-12-27 12:17,Exit Short,21514.25,1,21517.25,6,0.01,24.5,0.06,-268,-0.62,1618.5,16.18
61,Entry short,2024-12-27 10:33,Short,21517.25,1,21517.25,6,0.01,24.5,0.06,-268,-0.62,1618.5,16.18
62,Exit short,2024-12-27 14:07,Exit Short,21682.5,1,21510.25,-344.5,-0.80,17.5,0.04,-351.5,-0.82,1274,12.74
62,Entry short,2024-12-27 12:38,Short,21510.25,1,21510.25,-344.5,-0.80,17.5,0.04,-351.5,-0.82,1274,12.74
63,Exit long,2024-12-27 14:58,Exit Long,21710.75,1,21682.5,56.5,0.13,68,0.16,-93,-0.21,1330.5,13.31
63,Entry long,2024-12-27 14:07,Long,21682.5,1,21682.5,56.5,0.13,68,0.16,-93,-0.21,1330.5,13.31
64,Exit short,2024-12-30 02:35,Exit Short,21619.25,1,21636.75,35,0.08,42.5,0.10,-7.5,-0.02,1365.5,13.66
64,Entry short,2024-12-30 02:19,Short,21636.75,1,21636.75,35,0.08,42.5,0.10,-7.5,-0.02,1365.5,13.66
65,Exit short,2024-12-30 08:37,Exit Short,21404.75,1,21456.25,103,0.24,108,0.25,-56,-0.13,1468.5,14.69
65,Entry short,2024-12-30 08:12,Short,21456.25,1,21456.25,103,0.24,108,0.25,-56,-0.13,1468.5,14.69
66,Exit short,2024-12-30 09:59,Exit Short,21297,1,21401,208,0.49,234,0.55,-50,-0.12,1676.5,16.77
66,Entry short,2024-12-30 08:45,Short,21401,1,21401,208,0.49,234,0.55,-50,-0.12,1676.5,16.77
67,Exit long,2024-12-30 11:45,Exit Long,21458.5,1,21415.25,86.5,0.20,98.5,0.23,-17,-0.04,1763,17.63
67,Entry long,2024-12-30 11:35,Long,21415.25,1,21415.25,86.5,0.20,98.5,0.23,-17,-0.04,1763,17.63
68,Exit long,2024-12-30 12:21,Exit Long,21494.5,1,21459.25,70.5,0.16,75.5,0.18,-25.5,-0.06,1833.5,18.34
68,Entry long,2024-12-30 11:57,Long,21459.25,1,21459.25,70.5,0.16,75.5,0.18,-25.5,-0.06,1833.5,18.34
69,Exit short,2024-12-30 16:07,Exit Short,21365.5,1,21440.25,149.5,0.35,157,0.37,-19.5,-0.05,1983,19.83
69,Entry short,2024-12-30 15:57,Short,21440.25,1,21440.25,149.5,0.35,157,0.37,-19.5,-0.05,1983,19.83
70,Exit long,2024-12-31 04:23,Exit Long,21473.75,1,21451.5,44.5,0.10,47,0.11,-183,-0.43,2027.5,20.28
70,Entry long,2024-12-30 21:31,Long,21451.5,1,21451.5,44.5,0.10,47,0.11,-183,-0.43,2027.5,20.28
71,Exit long,2024-12-31 05:51,Exit Long,21509.5,1,21496.5,26,0.06,29,0.07,-41.5,-0.10,2053.5,20.54
71,Entry long,2024-12-31 04:39,Long,21496.5,1,21496.5,26,0.06,29,0.07,-41.5,-0.10,2053.5,20.54
72,Exit long,2025-01-01 21:41,Exit Long,21328.75,1,21293,71.5,0.17,72,0.17,-13.5,-0.03,2125,21.25
72,Entry long,2025-01-01 20:38,Long,21293,1,21293,71.5,0.17,72,0.17,-13.5,-0.03,2125,21.25
73,Exit long,2025-01-02 00:20,Exit Long,21350.5,1,21331.25,38.5,0.09,47.5,0.11,-0.5,0.00,2163.5,21.64
73,Entry long,2025-01-02 00:11,Long,21331.25,1,21331.25,38.5,0.09,47.5,0.11,-0.5,0.00,2163.5,21.64
74,Exit long,2025-01-02 02:03,Exit Long,21395,1,21373.5,43,0.10,50,0.12,-34.5,-0.08,2206.5,22.07
74,Entry long,2025-01-02 01:17,Long,21373.5,1,21373.5,43,0.10,50,0.12,-34.5,-0.08,2206.5,22.07
75,Exit long,2025-01-02 07:13,Exit Long,21478,1,21451.5,53,0.12,59,0.14,-2,0.00,2259.5,22.60
75,Entry long,2025-01-02 06:57,Long,21451.5,1,21451.5,53,0.12,59,0.14,-2,0.00,2259.5,22.60
76,Exit short,2025-01-02 09:03,Exit Short,21370.75,1,21422,102.5,0.24,116.5,0.27,-89.5,-0.21,2362,23.62
76,Entry short,2025-01-02 08:20,Short,21422,1,21422,102.5,0.24,116.5,0.27,-89.5,-0.21,2362,23.62
77,Exit short,2025-01-02 09:35,Exit Short,21266.5,1,21359.5,186,0.44,188,0.44,-27,-0.06,2548,25.48
77,Entry short,2025-01-02 09:23,Short,21359.5,1,21359.5,186,0.44,188,0.44,-27,-0.06,2548,25.48
78,Exit short,2025-01-02 12:14,Exit Short,21339.5,1,21219.25,-240.5,-0.57,66.5,0.16,-275.5,-0.65,2307.5,23.08
78,Entry short,2025-01-02 11:04,Short,21219.25,1,21219.25,-240.5,-0.57,66.5,0.16,-275.5,-0.65,2307.5,23.08
79,Exit long,2025-01-02 13:03,Exit Long,21019.5,1,21339.5,-640,-1.50,3,0.01,-712.5,-1.67,1667.5,16.68
79,Entry long,2025-01-02 12:14,Long,21339.5,1,21339.5,-640,-1.50,3,0.01,-712.5,-1.67,1667.5,16.68
80,Exit short,2025-01-02 20:08,Exit Short,21245,1,21019.5,-451,-1.07,64.5,0.15,-458,-1.09,1216.5,12.17
80,Entry short,2025-01-02 13:03,Short,21019.5,1,21019.5,-451,-1.07,64.5,0.15,-458,-1.09,1216.5,12.17
81,Exit long,2025-01-02 22:04,Exit Long,21248.75,1,21245,7.5,0.02,14.5,0.03,-79.5,-0.19,1224,12.24
81,Entry long,2025-01-02 20:08,Long,21245,1,21245,7.5,0.02,14.5,0.03,-79.5,-0.19,1224,12.24
82,Exit long,2025-01-03 03:08,Exit Long,21264.5,1,21255.25,18.5,0.04,33.5,0.08,-98.5,-0.23,1242.5,12.43
82,Entry long,2025-01-02 22:45,Long,21255.25,1,21255.25,18.5,0.04,33.5,0.08,-98.5,-0.23,1242.5,12.43
83,Exit short,2025-01-03 07:19,Exit Short,21215.5,1,21230.75,30.5,0.07,41.5,0.10,-43.5,-0.10,1273,12.73
83,Entry short,2025-01-03 06:06,Short,21230.75,1,21230.75,30.5,0.07,41.5,0.10,-43.5,-0.10,1273,12.73
84,Exit short,2025-01-03 13:37,Exit Short,21514.25,1,21312.5,-403.5,-0.95,103.5,0.24,-413.5,-0.97,869.5,8.70
84,Entry short,2025-01-03 10:18,Short,21312.5,1,21312.5,-403.5,-0.95,103.5,0.24,-413.5,-0.97,869.5,8.70
85,Exit long,2025-01-03 14:34,Exit Long,21542.5,1,21514.25,56.5,0.13,62.5,0.15,-36,-0.08,926,9.26
85,Entry long,2025-01-03 13:37,Long,21514.25,1,21514.25,56.5,0.13,62.5,0.15,-36,-0.08,926,9.26
86,Exit short,2025-01-06 00:08,Exit Short,21526.25,1,21490.5,-71.5,-0.17,16.5,0.04,-72,-0.17,854.5,8.55
86,Entry short,2025-01-05 20:07,Short,21490.5,1,21490.5,-71.5,-0.17,16.5,0.04,-72,-0.17,854.5,8.55
87,Exit long,2025-01-06 00:24,Exit Long,21534.75,1,21526.25,17,0.04,21,0.05,-8,-0.02,871.5,8.72
87,Entry long,2025-01-06 00:08,Long,21526.25,1,21526.25,17,0.04,21,0.05,-8,-0.02,871.5,8.72
88,Exit long,2025-01-06 02:30,Exit Long,21566.75,1,21554.25,25,0.06,32.5,0.08,-4,-0.01,896.5,8.97
88,Entry long,2025-01-06 02:11,Long,21554.25,1,21554.25,25,0.06,32.5,0.08,-4,-0.01,896.5,8.97
89,Exit long,2025-01-06 03:15,Exit Long,21593.5,1,21579.25,28.5,0.07,31,0.07,-8.5,-0.02,925,9.25
89,Entry long,2025-01-06 03:05,Long,21579.25,1,21579.25,28.5,0.07,31,0.07,-8.5,-0.02,925,9.25
90,Exit long,2025-01-06 05:00,Exit Long,21669,1,21645.25,47.5,0.11,55.5,0.13,-23,-0.05,972.5,9.73
90,Entry long,2025-01-06 04:22,Long,21645.25,1,21645.25,47.5,0.11,55.5,0.13,-23,-0.05,972.5,9.73
91,Exit long,2025-01-06 10:30,Exit Long,21877.25,1,21838,78.5,0.18,97.5,0.22,-12,-0.03,1051,10.51
91,Entry long,2025-01-06 10:14,Long,21838,1,21838,78.5,0.18,97.5,0.22,-12,-0.03,1051,10.51
92,Exit long,2025-01-06 13:02,Exit Long,21756,1,21886.25,-260.5,-0.60,21.5,0.05,-267.5,-0.61,790.5,7.90
92,Entry long,2025-01-06 11:07,Long,21886.25,1,21886.25,-260.5,-0.60,21.5,0.05,-267.5,-0.61,790.5,7.90
93,Exit short,2025-01-06 13:59,Exit Short,21722.5,1,21756,67,0.15,96.5,0.22,-70.5,-0.16,857.5,8.58
93,Entry short,2025-01-06 13:02,Short,21756,1,21756,67,0.15,96.5,0.22,-70.5,-0.16,857.5,8.58
94,Exit long,2025-01-07 09:03,Exit Long,21793.5,1,21769.25,48.5,0.11,50.5,0.12,-101,-0.23,906,9.06
94,Entry long,2025-01-07 05:55,Long,21769.25,1,21769.25,48.5,0.11,50.5,0.12,-101,-0.23,906,9.06
95,Exit long,2025-01-07 10:32,Exit Long,21516.25,1,21794.75,-557,-1.28,23,0.05,-557.5,-1.28,349,3.49
95,Entry long,2025-01-07 09:13,Long,21794.75,1,21794.75,-557,-1.28,23,0.05,-557.5,-1.28,349,3.49
96,Exit short,2025-01-07 10:47,Exit Short,21433.5,1,21516.25,165.5,0.38,192,0.45,-28.5,-0.07,514.5,5.15
96,Entry short,2025-01-07 10:32,Short,21516.25,1,21516.25,165.5,0.38,192,0.45,-28.5,-0.07,514.5,5.15
97,Exit short,2025-01-07 14:42,Exit Short,21408.25,1,21418.75,21,0.05,64,0.15,-197.5,-0.46,535.5,5.36
97,Entry short,2025-01-07 12:45,Short,21418.75,1,21418.75,21,0.05,64,0.15,-197.5,-0.46,535.5,5.36
98,Exit long,2025-01-07 19:49,Exit Long,21412.75,1,21404.25,17,0.04,19.5,0.05,0,0.00,552.5,5.53
98,Entry long,2025-01-07 19:38,Long,21404.25,1,21404.25,17,0.04,19.5,0.05,0,0.00,552.5,5.53
99,Exit long,2025-01-07 20:37,Exit Long,21422.75,1,21412.25,21,0.05,23,0.05,-35,-0.08,573.5,5.74
99,Entry long,2025-01-07 20:02,Long,21412.25,1,21412.25,21,0.05,23,0.05,-35,-0.08,573.5,5.74
100,Exit long,2025-01-08 00:43,Exit Long,21421.25,1,21416.75,9,0.02,14.5,0.03,-65,-0.15,582.5,5.83
100,Entry long,2025-01-07 23:33,Long,21416.75,1,21416.75,9,0.02,14.5,0.03,-65,-0.15,582.5,5.83
101,Exit long,2025-01-08 04:08,Exit Long,21426.5,1,21415.5,22,0.05,28.5,0.07,-26,-0.06,604.5,6.05
101,Entry long,2025-01-08 03:42,Long,21415.5,1,21415.5,22,0.05,28.5,0.07,-26,-0.06,604.5,6.05
102,Exit long,2025-01-08 19:29,Exit Long,21295.75,1,21438.75,-286,-0.67,19,0.04,-545.5,-1.27,318.5,3.19
102,Entry long,2025-01-08 05:48,Long,21438.75,1,21438.75,-286,-0.67,19,0.04,-545.5,-1.27,318.5,3.19
103,Exit short,2025-01-08 21:44,Exit Short,21346.5,1,21295.75,-101.5,-0.24,49,0.12,-102.5,-0.24,217,2.17
103,Entry short,2025-01-08 19:29,Short,21295.75,1,21295.75,-101.5,-0.24,49,0.12,-102.5,-0.24,217,2.17
104,Exit long,2025-01-08 23:46,Exit Long,21302.25,1,21346.5,-88.5,-0.21,1,0.00,-105.5,-0.25,128.5,1.29
104,Entry long,2025-01-08 21:44,Long,21346.5,1,21346.5,-88.5,-0.21,1,0.00,-105.5,-0.25,128.5,1.29
