entry_date,exit_date,symbol,entry_price,exit_price,quantity,pnl,pnl_pct,days_held,exit_reason
2025-08-06,2025-08-12,ETHUSD,3683.56,4590.0,0.27147650642313415,246.0771644821857,24.60771644821857,6,Take Profit
2025-08-07,2025-08-12,LINKUSD,18.46875,23.59809,55.20991266728869,283.1904134408305,27.773076142131973,5,Take Profit
2025-08-06,2025-08-13,UNIUSD,9.724,12.133,102.83833813245577,247.73755656108574,24.773755656108587,7,Take Profit
2025-08-06,2025-08-13,ADAUSD,0.741642,0.904114,1348.3594510559003,219.07065673195416,21.907065673195415,7,Time Exit
2025-08-07,2025-08-14,DOTUSD,3.8612,3.9849,264.0780261509344,32.6664518348706,3.20366725370351,7,Time Exit
2025-08-07,2025-08-14,XBTUSD,117498.1,118383.1,0.008678081386626575,7.68010202716448,0.7532036688252831,7,Time Exit
2025-08-07,2025-08-14,SOLUSD,175.48,192.6,5.810679704661433,99.47883654380371,9.756097560975613,7,Time Exit
2025-08-07,2025-08-14,ATOMUSD,4.47,4.524,228.11142607919197,12.318017008276342,1.2080536912751738,7,Time Exit
2025-08-13,2025-08-14,UNIUSD,12.133,10.884,95.023372822926,-118.6841926558343,-10.294238852715724,1,Stop Loss
2025-08-08,2025-08-15,AVAXUSD,23.8,23.79,43.75427453755503,-0.4375427453755947,-0.04201680672269564,7,Time Exit
2025-08-12,2025-08-19,LINKUSD,23.59809,23.55042,47.216660094633,-2.250818186711058,-0.2020078743661038,7,Time Exit
2025-08-12,2025-08-19,ETHUSD,4590.0,4074.66,0.24275010771515423,-125.09884050992764,-11.22745098039216,7,Stop Loss
2025-08-17,2025-08-19,AVAXUSD,25.06,22.32,44.61851511361181,-122.25473141129635,-10.93375897845171,2,Stop Loss
2025-08-13,2025-08-20,ADAUSD,0.904114,0.881021,1275.191604665519,-29.44799972654073,-2.5542132961108797,7,Time Exit
2025-08-14,2025-08-21,SOLUSD,192.6,180.29,5.705974355288245,-70.24054431359832,-6.391484942886813,7,Time Exit
2025-08-14,2025-08-21,DOTUSD,3.9849,3.7944,275.783748859072,-52.53680415765325,-4.780546563276371,7,Time Exit
2025-08-20,2025-08-25,LINKUSD,26.437,23.39824,40.45764084772536,-122.9410607024339,-11.49434504671483,5,Stop Loss
2025-08-22,2025-08-25,ETHUSD,4830.0,4377.69,0.22030757408236756,-99.64731883319575,-9.364596273291934,3,Stop Loss
2025-08-22,2025-08-25,UNIUSD,11.411,9.703,93.25086169641884,-159.27247177748336,-14.968013320480242,3,Stop Loss
2025-08-22,2025-08-25,DOTUSD,4.1741,3.7323,254.9257523341164,-112.6261973812127,-10.584317577441848,3,Stop Loss
2025-08-22,2025-08-25,ADAUSD,0.930729,0.836306,1143.2818605822267,-107.95210312175561,-10.145058335992543,3,Stop Loss
2025-08-22,2025-08-29,SOLUSD,200.62,205.12,5.303985558856721,23.86793501485522,2.2430465556773997,7,Time Exit
2025-08-22,2025-08-29,AVAXUSD,25.26,23.54,42.12531998487076,-72.45555037397776,-6.809184481393517,7,Time Exit
2025-08-22,2025-08-29,ATOMUSD,4.8233,4.4806,220.6136012310732,-75.60428114188869,-7.105094022764494,7,Time Exit
2025-08-22,2025-08-29,XBTUSD,116817.9,108400.1,0.00910892579662736,-76.67711557084976,-7.205916216607205,7,Time Exit
2025-08-28,2025-09-01,LINKUSD,25.20181,22.52016,39.81935038525031,-106.78156096060638,-10.640703981182295,4,Stop Loss
2025-09-02,2025-09-09,SOLUSD,209.52,217.11,4.637828369642366,35.20111732558553,3.622565864833908,7,Time Exit
2025-09-02,2025-09-09,AVAXUSD,24.45,25.93,39.74305930500894,58.81972777141334,6.053169734151331,7,Time Exit
2025-09-07,2025-09-14,DOTUSD,3.995,4.3227,243.11120620971965,79.66754227492515,8.202753441802255,7,Time Exit
2025-09-07,2025-09-14,ADAUSD,0.835054,0.888171,1163.0736081832194,61.77898084586809,6.36090600128855,7,Time Exit
2025-09-12,2025-09-15,UNIUSD,10.184,9.17,101.96640734248095,-103.3939370452756,-9.956794972505886,3,Stop Loss
2025-09-09,2025-09-16,SOLUSD,217.11,236.97,4.5509450597105445,90.38176888585122,9.14743678319745,7,Time Exit
2025-09-09,2025-09-16,AVAXUSD,25.93,30.08,38.104731273187674,158.13463478372887,16.004627844195905,7,Time Exit
2025-09-09,2025-09-16,ATOMUSD,4.5886,4.5481,215.32835329158272,-8.720798308308986,-0.8826221505470025,7,Time Exit
2025-09-10,2025-09-17,LINKUSD,23.56414,24.00072,42.892778579007555,18.726129272023286,1.8527304624739238,7,Time Exit
2025-09-11,2025-09-18,ETHUSD,4462.85,4589.52,0.2280485292913011,28.886907205329067,2.838320803970558,7,Time Exit
2025-09-11,2025-09-18,XBTUSD,115500.0,117135.7,0.008811656960586002,14.413227290430541,1.4161904761904736,7,Time Exit
2025-09-14,2025-09-21,DOTUSD,4.3227,4.2631,235.539977922868,-14.038182684203093,-1.3787678996923343,7,Time Exit
2025-09-17,2025-09-22,ADAUSD,0.913268,0.825659,1113.0116329224534,-97.50983614870313,-9.59291248571065,5,Stop Loss
2025-09-17,2025-09-22,SOLUSD,244.85,220.51,4.15143111282754,-101.04583328622232,-9.940780069430264,5,Stop Loss
2025-09-18,2025-09-22,LINKUSD,24.62936,21.66,41.957428683172346,-124.5867104346645,-12.056180103746092,4,Stop Loss
2025-09-18,2025-09-22,ATOMUSD,4.6727,4.1607,221.15364044603282,-113.23066390836868,-10.957262396473123,4,Stop Loss
2025-09-17,2025-09-24,AVAXUSD,31.81,32.33,31.954665450355964,16.616426034184997,1.634706067274441,7,Time Exit
2025-10-01,2025-10-08,XBTUSD,118599.9,123329.7,0.008193327734634076,38.752801519272225,3.9880303440390783,7,Time Exit
